"","gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"15438","ENSG00000224610","ENSG00000224610.2",22.2295530409467,2.67288530504496,0.545795607370071,4.89722758657646,9.71982426053337e-07,0.00170249664654857
"2315","KLHL4","ENSG00000102271.14",3.14641739164725,-4.2713812644973,0.881535910568441,-4.8453854384026,1.26366111891267e-06,0.00206583319719843
"14476","IGKV6-21","ENSG00000211611.2",9.17658832727667,3.93059209720803,0.817568174960929,4.80766279508846,1.52705055782583e-06,0.00234039586118782
"12731","KCNQ5","ENSG00000185760.18",232.686874842509,1.39386761673033,0.29376244873275,4.74488016675814,2.08629806606849e-06,0.00287243005018987
"14459","RNU1-3","ENSG00000207513.1",114.179362444648,-12.8183870417754,2.70273846880392,-4.74274044260306,2.10846345744302e-06,0.00287243005018987
"4065","PIK3R3","ENSG00000117461.15",124.746812265645,-0.991118363306805,0.214895840616644,-4.61208723474028,3.98645615410241e-06,0.00514504620057364
"12890","FSCN2","ENSG00000186765.12",36.1633984938215,1.44140986074583,0.3150005605742,4.57589617656028,4.74185681344835e-06,0.00581399063896902
"5710","BEX1","ENSG00000133169.6",5.86858298597819,-5.34372104418154,1.2067322259884,-4.42825751156572,9.4997441534361e-06,0.0105887602786618
"17981","TIPARP-AS1","ENSG00000243926.3",6.68142856445726,-2.83106821131478,0.638659110276427,-4.43283148358978,9.30035565960953e-06,0.0105887602786618
"11313","VWA3A","ENSG00000175267.15",4.33124078513257,-4.44594324775625,1.01787424013085,-4.36787087487813,1.25463629457008e-05,0.0128192463397698
"11423","ZNF683","ENSG00000176083.18",211.186445733516,-1.59753671072048,0.365595036713261,-4.36968927445654,1.24423454837483e-05,0.0128192463397698
"11671","ODF3","ENSG00000177947.15",3.26174662393028,5.20442266082111,1.19875404271266,4.34152668135659,1.41496091873692e-05,0.0138790686597067
"11011","LRRN3","ENSG00000173114.13",336.085674229454,1.51705429862419,0.352728534128426,4.30091175462386,1.70096792311788e-05,0.0160427443887295
"10930","SNTG2","ENSG00000172554.12",24.0314182280557,1.90504876534398,0.445599712404004,4.27524684669627,1.90925635764294e-05,0.0167209944293287
"17033","PVRIG2P","ENSG00000235333.3",6.60435953728403,17.3884594921943,4.06454622959983,4.27808136750022,1.88511117575866e-05,0.0167209944293287
"7230","SLC4A10","ENSG00000144290.17",252.490354121266,1.89805449742892,0.453743090293693,4.18310391503786,2.87555871691246e-05,0.0227465970503637
"10717","TMEM37","ENSG00000171227.7",4.3026727104755,5.12918239858626,1.22428379918949,4.18953710077836,2.79524079555388e-05,0.0227465970503637
"21671","ENSG00000273026","ENSG00000273026.1",3.94316954237396,-3.14840492410836,0.751971987192867,-4.18686464087771,2.82834383574533e-05,0.0227465970503637
"11361","FOSL1","ENSG00000175592.9",6.46158014210098,-3.41800495639566,0.820934841460303,-4.16355206744011,3.1333453159285e-05,0.0240112168241246
"12261","VMO1","ENSG00000182853.12",18.8318437922854,-2.50699155673264,0.603641029241622,-4.15311656313732,3.27977564750327e-05,0.0243717146751743
"859","MPPED2","ENSG00000066382.17",36.8559292928371,2.09124415077405,0.511686871166287,4.08696073441846,4.37061054843077e-05,0.0315223858437116
"19938","CDR2-DT","ENSG00000260790.1",3.08898463227111,4.19243410279399,1.03230974542156,4.06121720867988,4.88175256911687e-05,0.0332528712499678
"20542","CBX3P2","ENSG00000266405.3",38.4578971847685,-1.15036446806899,0.283056179438364,-4.06408533582106,4.82211826388913e-05,0.0332528712499678
"1150","GRAMD4","ENSG00000075240.17",1491.39264411375,-0.581803072416283,0.144506677811575,-4.0261327796554,5.67016785596984e-05,0.0375794205848898
"2803","STEAP1B","ENSG00000105889.16",53.3949518470413,1.61993203733052,0.403860227582286,4.01112049836713,6.04312553468172e-05,0.0379973139388372
"20458","ENSG00000265337","ENSG00000265337.1",2.84726874240966,-4.34401997476347,1.08268544289181,-4.01226413755111,6.01391548689182e-05,0.0379973139388372
"9022","IL23R","ENSG00000162594.16",42.7847227820207,1.80747715261905,0.456929299942157,3.95570420379664,7.63095332752744e-05,0.0458915841946603
"18293","ENSG00000248664","ENSG00000248664.2",2.54140105004676,-4.01246361797026,1.01468513934741,-3.95439280854242,7.67292615602753e-05,0.0458915841946603
"14446","RNU1-1","ENSG00000206652.1",140.863954165193,-9.08222289812276,2.3042621686481,-3.94148852578318,8.0977509401534e-05,0.0472792972748671
"11619","GIMAP3P","ENSG00000177590.7",13.0541885171075,-3.91676135574006,0.999154848919911,-3.92007441086243,8.85216322004165e-05,0.0482464658705641
"13805","ZNF69","ENSG00000198429.10",152.13068455944,0.80303660861324,0.204854497862882,3.9200340582746,8.853645559805e-05,0.0482464658705641
"15454","IMPDH1P8","ENSG00000224728.1",20.8504172414866,1.25435646753665,0.319964626257356,3.9202973222663,8.84397886304226e-05,0.0482464658705641
